Level	Date and Time	Source	Event ID	Task Category
Information	1/19/2023 7:59:29 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	1/19/2023 2:55:03 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	1/19/2023 2:55:02 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	1/4/2023 8:14:32 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	1/4/2023 8:14:32 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	1/4/2023 8:14:29 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	1/4/2023 8:14:28 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	1/4/2023 8:12:58 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	1/4/2023 8:11:35 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	1/4/2023 8:11:35 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\JILL.JIANG
Session ID: 1"
Information	1/4/2023 8:09:02 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\JILL.JIANG
Session ID: 1
Source Network Address: LOCAL"
Information	1/4/2023 8:09:02 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\JILL.JIANG
Session ID: 1
Source Network Address: LOCAL"
Information	1/4/2023 8:08:59 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\JILL.JIANG
Session ID: 1"
Information	1/4/2023 8:08:59 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\JILL.JIANG
Session ID: 1"
Information	1/4/2023 8:07:45 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	1/4/2023 8:06:27 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	1/4/2023 8:06:27 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	12/29/2022 11:44:33 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/29/2022 11:44:33 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/29/2022 11:44:29 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/29/2022 11:44:29 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/29/2022 11:43:56 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	12/29/2022 11:41:26 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	12/29/2022 11:41:26 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	12/28/2022 2:20:19 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/28/2022 2:20:19 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/28/2022 2:20:13 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/28/2022 2:20:13 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/28/2022 2:19:12 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	12/28/2022 2:17:16 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	12/28/2022 2:17:14 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	12/27/2022 12:56:02 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/27/2022 12:56:02 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/27/2022 12:55:59 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/27/2022 12:55:59 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/27/2022 4:06:12 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
